strain,stress
0.00004,0.01287
0.00004,0.01287
0.00004,0.01287
0.00004,0.02146
0.00004,0.02825
0.00004,0.03608
0.00005,0.05299
0.00004,0.06184
0.00005,0.07295
0.00005,0.08487
0.00005,0.0927
0.00005,0.10291
0.00005,0.11062
0.00005,0.11925
0.00006,0.12605
0.00006,0.13025
0.00006,0.13729
0.00006,0.14659
0.00006,0.1534
0.00006,0.15499
0.00006,0.16372
0.00006,0.17121
0.00007,0.17496
0.00007,0.18347
0.00007,0.18835
0.00007,0.193
0.00007,0.20083
0.00007,0.20491
0.00007,0.20923
0.00008,0.21705
0.00007,0.20991
0.00007,0.18914
0.00009,0.16271
0.00009,0.15828
0.00009,0.1601
0.00009,0.17735
0.00009,0.19505
0.00009,0.209
0.00009,0.21774
0.00009,0.22545
0.00009,0.23374
0.0001,0.24055
0.00009,0.24281
0.00009,0.24849
0.00009,0.25643
0.00009,0.25756
0.00009,0.26097
0.00009,0.26891
0.00009,0.26891
0.00009,0.27458
0.00009,0.27572
0.00009,0.28139
0.00009,0.28139
0.00009,0.29274
0.0001,0.29501
0.0001,0.30295
0.0001,0.30295
0.0001,0.30409
0.0001,0.30976
0.0001,0.30409
0.0001,0.30295
0.0001,0.29614
0.0001,0.29501
0.00009,0.28707
0.0001,0.28139
0.0001,0.27345
0.0001,0.26551
0.0001,0.2621
0.00009,0.25076
0.00009,0.24168
0.00009,0.2326
0.00009,0.22511
0.00009,0.2098
0.00009,0.19788
0.00009,0.18665
0.00008,0.16736
0.00008,0.14966
0.00008,0.13321
0.00007,0.11482
0.00007,0.10189
0.00008,0.1045
0.00008,0.10586
0.00008,0.1138
0.00009,0.12617
0.0001,0.13809
0.00009,0.15942
0.00009,0.182
0.00009,0.19539
0.00009,0.21536
0.00009,0.2326
0.0001,0.24622
0.0001,0.26097
0.0001,0.27799
0.0001,0.29388
0.0001,0.30863
0.00011,0.32451
0.00011,0.337
0.00011,0.35515
0.00011,0.37331
0.00012,0.39033
0.00012,0.40962
0.00012,0.42664
0.00012,0.44706
0.00013,0.4743
0.00013,0.50607
0.00014,0.54352
0.00014,0.57756
0.00015,0.61047
0.00015,0.64679
0.00016,0.68197
0.00016,0.71941
0.00016,0.75686
0.00017,0.79658
0.00018,0.83857
0.00018,0.88283
0.00019,0.92823
0.00019,0.97363
0.0002,1.02129
0.00021,1.07123
0.00021,1.1189
0.00022,1.16997
0.00022,1.22331
0.00023,1.27665
0.00023,1.32886
0.00024,1.38107
0.00025,1.43669
0.00025,1.4889
0.00026,1.54338
