strain,stress,material
-0.00289,-3.4616,Al alloy 2024
-0.00289,-3.4591,Al alloy 2024
-0.00273,8.09954,Al alloy 2024
-0.00257,19.86798,Al alloy 2024
-0.00249,26.02443,Al alloy 2024
-0.00243,30.27026,Al alloy 2024
-0.00238,34.26633,Al alloy 2024
-0.00233,37.33832,Al alloy 2024
-0.00229,39.91079,Al alloy 2024
-0.00226,41.80892,Al alloy 2024
-0.00221,44.15662,Al alloy 2024
-0.00217,46.42938,Al alloy 2024
-0.00213,48.7521,Al alloy 2024
-0.0021,51.02487,Al alloy 2024
-0.00206,53.32261,Al alloy 2024
-0.00202,55.6703,Al alloy 2024
-0.00198,58.04297,Al alloy 2024
-0.00194,60.49057,Al alloy 2024
-0.0019,62.96314,Al alloy 2024
-0.00186,65.63551,Al alloy 2024
-0.00183,68.30789,Al alloy 2024
-0.00179,71.05519,Al alloy 2024
-0.00175,73.80249,Al alloy 2024
-0.00171,76.67467,Al alloy 2024
-0.00168,78.97241,Al alloy 2024
-0.00164,82.36907,Al alloy 2024
-0.00157,85.91559,Al alloy 2024
-0.00151,89.63693,Al alloy 2024
-0.00145,93.35828,Al alloy 2024
-0.00139,97.12957,Al alloy 2024
-0.00133,100.95082,Al alloy 2024
-0.00129,104.84699,Al alloy 2024
-0.00123,108.76814,Al alloy 2024
-0.00118,112.81416,Al alloy 2024
-0.00112,116.96009,Al alloy 2024
-0.00106,121.23089,Al alloy 2024
-0.00101,125.57662,Al alloy 2024
-0.00095,129.99728,Al alloy 2024
-0.00089,134.51784,Al alloy 2024
-0.00083,139.01342,Al alloy 2024
-0.00077,143.73378,Al alloy 2024
-0.00071,148.50409,Al alloy 2024
-0.00064,153.24943,Al alloy 2024
-0.00057,158.09467,Al alloy 2024
-0.0005,163.11474,Al alloy 2024
-0.00044,168.10983,Al alloy 2024
-0.00037,173.20483,Al alloy 2024
-0.0003,178.22489,Al alloy 2024
-0.00022,183.44477,Al alloy 2024
-0.00016,188.63966,Al alloy 2024
-0.00009,193.93446,Al alloy 2024
-0.00001,199.20428,Al alloy 2024
0.00006,204.62396,Al alloy 2024
0.00013,210.04363,Al alloy 2024
0.00021,215.33843,Al alloy 2024
0.00028,220.80806,Al alloy 2024
0.00035,226.35261,Al alloy 2024
0.00043,231.89716,Al alloy 2024
0.0005,237.59157,Al alloy 2024
0.00058,243.18607,Al alloy 2024
0.00066,248.9554,Al alloy 2024
0.00073,254.49995,Al alloy 2024
0.00082,260.24431,Al alloy 2024
0.00089,266.23842,Al alloy 2024
0.00097,271.98278,Al alloy 2024
0.00105,277.97689,Al alloy 2024
0.00113,283.72124,Al alloy 2024
0.00121,289.71535,Al alloy 2024
0.00129,295.45971,Al alloy 2024
0.00138,301.45382,Al alloy 2024
0.00146,307.69769,Al alloy 2024
0.00154,313.44204,Al alloy 2024
0.00164,319.43615,Al alloy 2024
0.00173,325.43026,Al alloy 2024
0.00185,331.42438,Al alloy 2024
0.00198,337.16873,Al alloy 2024
0.00212,343.16284,Al alloy 2024
0.00227,348.65744,Al alloy 2024
0.00245,354.15205,Al alloy 2024
0.00266,359.14714,Al alloy 2024
0.00289,364.14223,Al alloy 2024
0.00315,368.88757,Al alloy 2024
0.00344,373.1334,Al alloy 2024
0.00376,377.37922,Al alloy 2024
0.00411,381.3753,Al alloy 2024
0.00447,385.37137,Al alloy 2024
0.00489,388.86794,Al alloy 2024
0.00528,392.3645,Al alloy 2024
0.00571,395.36156,Al alloy 2024
0.00618,398.60837,Al alloy 2024
0.00666,401.35567,Al alloy 2024
0.00717,404.10297,Al alloy 2024
0.00768,406.60051,Al alloy 2024
0.00821,409.09806,Al alloy 2024
0.00876,411.34585,Al alloy 2024
0.00933,413.59364,Al alloy 2024
0.00989,415.59168,Al alloy 2024
0.01047,417.83947,Al alloy 2024
0.01106,419.83751,Al alloy 2024
0.01169,421.83555,Al alloy 2024
0.01228,423.58383,Al alloy 2024
0.0129,425.33211,Al alloy 2024
0.01352,426.83064,Al alloy 2024
0.01414,428.57892,Al alloy 2024
0.01477,430.3272,Al alloy 2024
0.01541,431.82573,Al alloy 2024
0.01606,433.32426,Al alloy 2024
0.01669,434.82279,Al alloy 2024
0.01735,436.32131,Al alloy 2024
0.018,437.81984,Al alloy 2024
0.01865,439.06862,Al alloy 2024
0.0193,440.56714,Al alloy 2024
0.01996,441.81592,Al alloy 2024
0.02063,443.31444,Al alloy 2024
0.0213,444.56322,Al alloy 2024
0.02197,445.81199,Al alloy 2024
0.02264,447.06076,Al alloy 2024
0.02332,448.05978,Al alloy 2024
0.024,449.55831,Al alloy 2024
0.02467,450.55733,Al alloy 2024
0.02535,451.8061,Al alloy 2024
0.02604,453.05487,Al alloy 2024
0.02672,454.05389,Al alloy 2024
0.02741,455.05291,Al alloy 2024
0.02808,456.30168,Al alloy 2024
0.02878,457.3007,Al alloy 2024
0.02946,458.29972,Al alloy 2024
0.03016,459.29874,Al alloy 2024
0.03086,460.29776,Al alloy 2024
0.03153,461.29678,Al alloy 2024
0.03223,462.54555,Al alloy 2024
0.03294,463.29481,Al alloy 2024
0.03363,464.29383,Al alloy 2024
0.03433,465.29285,Al alloy 2024
0.03504,466.04211,Al alloy 2024
0.03573,467.04113,Al alloy 2024
0.03644,468.04015,Al alloy 2024
0.03717,468.78941,Al alloy 2024
0.03787,469.78843,Al alloy 2024
0.03858,470.5377,Al alloy 2024
0.03931,471.53672,Al alloy 2024
0.04002,472.03622,Al alloy 2024
0.04072,473.03524,Al alloy 2024
0.04145,473.78451,Al alloy 2024
0.04217,474.53377,Al alloy 2024
0.04288,475.28303,Al alloy 2024
0.0436,476.0323,Al alloy 2024
0.04432,476.78156,Al alloy 2024
0.04504,477.53083,Al alloy 2024
0.04578,478.28009,Al alloy 2024
0.04651,479.02935,Al alloy 2024
0.04723,479.52886,Al alloy 2024
0.04798,480.27813,Al alloy 2024
0.0487,481.02739,Al alloy 2024
0.04944,481.5269,Al alloy 2024
0.05017,482.27616,Al alloy 2024
