strain,stress,material
0.00004,0.01287,Aluminum
0.00004,0.01287,Aluminum
0.00004,0.01287,Aluminum
0.00004,0.02146,Aluminum
0.00004,0.02825,Aluminum
0.00004,0.03608,Aluminum
0.00005,0.05299,Aluminum
0.00004,0.06184,Aluminum
0.00005,0.07295,Aluminum
0.00005,0.08487,Aluminum
0.00005,0.0927,Aluminum
0.00005,0.10291,Aluminum
0.00005,0.11062,Aluminum
0.00005,0.11925,Aluminum
0.00006,0.12605,Aluminum
0.00006,0.13025,Aluminum
0.00006,0.13729,Aluminum
0.00006,0.14659,Aluminum
0.00006,0.1534,Aluminum
0.00006,0.15499,Aluminum
0.00006,0.16372,Aluminum
0.00006,0.17121,Aluminum
0.00007,0.17496,Aluminum
0.00007,0.18347,Aluminum
0.00007,0.18835,Aluminum
0.00007,0.193,Aluminum
0.00007,0.20083,Aluminum
0.00007,0.20491,Aluminum
0.00007,0.20923,Aluminum
0.00008,0.21705,Aluminum
0.00007,0.20991,Aluminum
0.00007,0.18914,Aluminum
0.00009,0.16271,Aluminum
0.00009,0.15828,Aluminum
0.00009,0.1601,Aluminum
0.00009,0.17735,Aluminum
0.00009,0.19505,Aluminum
0.00009,0.209,Aluminum
0.00009,0.21774,Aluminum
0.00009,0.22545,Aluminum
0.00009,0.23374,Aluminum
0.0001,0.24055,Aluminum
0.00009,0.24281,Aluminum
0.00009,0.24849,Aluminum
0.00009,0.25643,Aluminum
0.00009,0.25756,Aluminum
0.00009,0.26097,Aluminum
0.00009,0.26891,Aluminum
0.00009,0.26891,Aluminum
0.00009,0.27458,Aluminum
0.00009,0.27572,Aluminum
0.00009,0.28139,Aluminum
0.00009,0.28139,Aluminum
0.00009,0.29274,Aluminum
0.0001,0.29501,Aluminum
0.0001,0.30295,Aluminum
0.0001,0.30295,Aluminum
0.0001,0.30409,Aluminum
0.0001,0.30976,Aluminum
0.0001,0.30409,Aluminum
0.0001,0.30295,Aluminum
0.0001,0.29614,Aluminum
0.0001,0.29501,Aluminum
0.00009,0.28707,Aluminum
0.0001,0.28139,Aluminum
0.0001,0.27345,Aluminum
0.0001,0.26551,Aluminum
0.0001,0.2621,Aluminum
0.00009,0.25076,Aluminum
0.00009,0.24168,Aluminum
0.00009,0.2326,Aluminum
0.00009,0.22511,Aluminum
0.00009,0.2098,Aluminum
0.00009,0.19788,Aluminum
0.00009,0.18665,Aluminum
0.00008,0.16736,Aluminum
0.00008,0.14966,Aluminum
0.00008,0.13321,Aluminum
0.00007,0.11482,Aluminum
0.00007,0.10189,Aluminum
0.00008,0.1045,Aluminum
0.00008,0.10586,Aluminum
0.00008,0.1138,Aluminum
0.00009,0.12617,Aluminum
0.0001,0.13809,Aluminum
0.00009,0.15942,Aluminum
0.00009,0.182,Aluminum
0.00009,0.19539,Aluminum
0.00009,0.21536,Aluminum
0.00009,0.2326,Aluminum
0.0001,0.24622,Aluminum
0.0001,0.26097,Aluminum
0.0001,0.27799,Aluminum
0.0001,0.29388,Aluminum
0.0001,0.30863,Aluminum
0.00011,0.32451,Aluminum
0.00011,0.337,Aluminum
0.00011,0.35515,Aluminum
0.00011,0.37331,Aluminum
0.00012,0.39033,Aluminum
0.00012,0.40962,Aluminum
0.00012,0.42664,Aluminum
0.00012,0.44706,Aluminum
0.00013,0.4743,Aluminum
0.00013,0.50607,Aluminum
0.00014,0.54352,Aluminum
0.00014,0.57756,Aluminum
0.00015,0.61047,Aluminum
0.00015,0.64679,Aluminum
0.00016,0.68197,Aluminum
0.00016,0.71941,Aluminum
0.00016,0.75686,Aluminum
0.00017,0.79658,Aluminum
0.00018,0.83857,Aluminum
0.00018,0.88283,Aluminum
0.00019,0.92823,Aluminum
0.00019,0.97363,Aluminum
0.0002,1.02129,Aluminum
0.00021,1.07123,Aluminum
0.00021,1.1189,Aluminum
0.00022,1.16997,Aluminum
0.00022,1.22331,Aluminum
0.00023,1.27665,Aluminum
0.00023,1.32886,Aluminum
0.00024,1.38107,Aluminum
0.00025,1.43669,Aluminum
0.00025,1.4889,Aluminum
0.00026,1.54338,Aluminum
0.00027,1.59786,Aluminum
0.00027,1.64894,Aluminum
0.00028,1.70683,Aluminum
0.00029,1.76245,Aluminum
0.00029,1.81353,Aluminum
0.0003,1.86461,Aluminum
0.0003,1.92023,Aluminum
0.00031,1.97359,Aluminum
0.00032,2.0258,Aluminum
0.00032,2.08256,Aluminum
0.00033,2.13251,Aluminum
0.00034,2.18814,Aluminum
0.00034,2.24262,Aluminum
